Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Promotion Gap,Early_Stage_Risk,Risk_Score,Predicted_Attrition
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993.0,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,Senior/Management,6,0,0.6172114316163535,1
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130.0,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,Executive/Late Career,9,0,0.06808233773645506,0
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,Senior/Management,0,1,0.3615336000652847,1
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909.0,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,Core Contributor,5,0,0.32053685558314826,1
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468.0,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,Core Contributor,0,0,0.16121145115403693,0
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,Core Contributor,4,0,0.1102500643813514,0
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,Executive/Late Career,1,1,0.11611730257327832,0
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,Core Contributor,1,1,0.30005085128195236,1
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,Senior/Management,8,0,0.06533504372111545,0
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,Senior/Management,0,0,0.06707209518897765,0
